#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
194,YBL075C,SSA3,"20,1","18,6","23,3","20,5","18,8","23,9","20,87","2,25","11,6%","4,5%",298,11, Verified ORF
195,YBL076C,ILS1,"400,8","393,5","394,3","390,2","405,8","404,4","398,17","6,39","1,0%","2,6%",4.979,, Verified ORF
196,YBL077W,YBL077W,"0,2","0,3","0,2",0,"0,1","0,1","0,15","0,1","24,7%","173,2%",,, Dubious ORF
197,YBL078C,ATG8,"73,8","77,5","80,1","79,2","75,4","80,6","77,77","2,72","4,1%","22,2%",517,34, Verified ORF
198,YBL079W,NUP170,"75,5","81,7","86,7","83,3","85,2","82,1","82,42","3,88","6,9%","7,0%",1.221,"6,5", Verified ORF
199,YBL080C,PET112,"14,7","14,9","16,2","14,6","15,5","16,7","15,43","0,86","5,3%","5,9%",147,, Verified ORF
200,YBL081W,YBL081W,"84,3",82,"85,2","78,4","76,4","75,7","80,33","4,07","2,0%","4,0%",966,, Uncharacterized ORF
201,YBL082C,ALG3,"38,6","38,3","38,5","38,9",35,"35,9","37,53","1,65","0,4%","8,2%",548,, Verified ORF
202,YBL083C,YBL083C,"0,4","0,1","0,5","0,3","0,4","0,6","0,38","0,17","62,4%","89,2%",,, Dubious ORF
203,YBL084C,CDC27,"39,5","37,4","38,3","39,3","35,8","36,9","37,87","1,44","2,7%","3,6%",385,"10,5", Verified ORF
