#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
5161,YNL249C,MPA43,"22,1",23,21,"25,9","23,1",24,"23,18","1,68","4,5%","8,5%",304,, Verified ORF
5162,YNL250W,RAD50,"18,5","15,9","18,2","19,5","19,5","17,6","18,2","1,35","8,1%","5,4%",271,, Verified ORF
5163,YNL251C,NRD1,"95,6","100,7","94,4","102,1","107,1","100,2","100,02","4,61","3,5%","4,3%",918,, Verified ORF
5164,YNL252C,MRPL17,"72,5",75,"70,1","73,9","70,7","78,4","73,43","3,06","3,4%","4,0%",964,, Verified ORF
5165,YNL253W,TEX1,"34,4","33,2",34,"31,8","35,8","31,2","33,4","1,71","1,8%","4,0%",396,, Verified ORF
5166,YNL254C,YNL254C,"15,7","15,6",19,"18,7","17,8","17,9","17,45","1,47","11,5%","9,4%",324,, Uncharacterized ORF
5167,YNL255C,GIS2,"201,1","207,3","207,6","202,8","201,2","194,9","202,48","4,7","1,8%","9,0%",2.534,, Verified ORF
5168,YNL256W,FOL1,"57,7","57,7","62,7",62,"60,2","62,2","60,42","2,27","4,9%","6,6%",697,, Verified ORF
5169,YNL257C,SIP3,"46,1","42,8","45,7","43,8","42,8","43,4","44,1","1,45","4,0%","2,8%",886,, Verified ORF
5170,YNL258C,DSL1,52,"51,4","49,8","47,6","51,3","51,7","50,63","1,67","2,2%","10,8%",561,, Verified ORF
5171,YNL259C,ATX1,"361,4","363,2","348,5","393,2","379,4","374,5","370,03","15,68","2,2%","6,6%",676,, Verified ORF
5172,YNL260C,YNL260C,"28,3","29,9","29,6","28,1","31,8","29,9","29,6","1,34","2,9%","6,4%",241,, Uncharacterized ORF
5173,YNL261W,ORC5,"43,4",42,"40,1","45,4","43,9","47,9","43,78","2,7","4,0%","6,5%",597,, Verified ORF
5174,YNL262W,POL2,"87,2","84,5","85,4","88,8","91,4","86,4","87,28","2,5","1,6%","2,8%",746,, Verified ORF
5175,YNL263C,YIF1,78,"80,4","78,6","79,3","78,1","77,4","78,63","1,07","1,6%","6,9%",1.596,, Verified ORF
5176,YNL264C,PDR17,"47,7","45,9","48,5","46,3",51,"46,5","47,65","1,91","2,8%","3,4%",605,, Verified ORF
5177,YNL266W,YNL266W,"4,6",6,"4,9","6,2","4,5","5,4","5,27","0,72","14,3%","15,6%",,, Dubious ORF
5178,YNL267W,PIK1,65,63,"59,4","60,7","61,1","64,5","62,28","2,24","4,5%","7,1%",703,, Verified ORF
5179,YNL268W,LYP1,"336,9","348,2","339,1","360,1","361,9","355,1","350,22","10,61","1,8%","6,2%",4.574,, Verified ORF
5180,YNL269W,BSC4,"0,2","0,3","0,2",0,"0,3","0,3","0,22","0,12","24,7%","91,7%",17,, Verified ORF
5181,YNL270C,ALP1,"6,8","7,7","6,4","7,7","6,5","6,4","6,92","0,62","9,6%","9,4%",86,, Verified ORF
5182,YNL271C,BNI1,"73,4","68,8","67,6","77,2","72,6","78,5","73,02","4,36","4,4%","3,6%",524,, Verified ORF
5183,YNL272C,SEC2,"45,5","45,3","44,9","44,5","44,9","47,1","45,37","0,92","0,7%","7,1%",392,, Verified ORF
5184,YNL273W,TOF1,"27,5","26,7","25,4",27,"26,7","26,3","26,6","0,71","4,0%","3,3%",233,, Verified ORF
5185,YNL274C,GOR1,"44,5",43,"42,9","47,1","47,4","44,9","44,97","1,94","2,1%","5,1%",598,, Verified ORF
5186,YNL275W,BOR1,"29,5","28,2",25,"25,2","25,9","26,3","26,68","1,79","8,4%","8,9%",388,, Verified ORF
5187,YNL276C,YNL276C,"5,3",5,6,"6,2",5,6,"5,58","0,55","9,4%","7,8%",,, Dubious ORF
5188,YNL277W,MET2,"28,5","26,6","26,8","27,9","25,8","27,6","27,2","0,98","3,8%","3,2%",384,, Verified ORF
5189,YNL277W-A,YNL277W-A,"8,7","8,7","8,3","10,4","9,7","9,5","9,22","0,79","2,7%","8,9%",187,, Uncharacterized ORF
5190,YNL278W,CAF120,31,"33,2","33,6","29,7","32,8","32,8","32,18","1,51","4,3%","6,3%",483,, Verified ORF
5191,YNL279W,PRM1,"55,5","52,8","57,6","55,6","53,6","54,8","54,98","1,69","4,4%","1,1%",722,, Verified ORF
5192,YNL280C,ERG24,"92,3",89,"94,5","88,1","85,8","89,4","89,85","3,1","3,0%","5,1%",1.713,, Verified ORF
5193,YNL281W,HCH1,"170,5","169,4","173,3",177,"186,9","178,3","175,9","6,42","1,2%","1,9%",2.100,, Verified ORF
5194,YNL282W,POP3,22,"21,4","20,9","21,2","19,2",21,"20,95","0,94","2,6%","3,4%",380,, Verified ORF
5195,YNL283C,WSC2,"62,4","66,8","65,1","63,4","65,8","65,7","64,87","1,65","3,4%","1,9%",1.213,, Verified ORF
5196,YNL284C,MRPL10,"50,9","55,4","55,8","55,7","51,5","57,4","54,45","2,62","5,0%","5,3%",661,, Verified ORF
5197,YNL284C-A,YNL284C-A,0,0,0,0,0,0,0,0,N/A,N/A,,, transposable_element_gene
5198,YNL284C-B,YNL284C-B,"141,2","158,4","164,8",159,"150,3","189,2","160,48","16,28","7,9%","7,3%",,, transposable_element_gene
5199,YNL285W,YNL285W,"90,1","80,4","85,9","81,1","78,6","79,4","82,58","4,48","5,7%","10,9%",,, Dubious ORF
5200,YNL286W,CUS2,"30,3","29,5","29,1","31,1","29,4",30,"29,9","0,73","2,1%","1,5%",366,, Verified ORF
5201,YNL287W,SEC21,"157,7","153,7","154,1","164,7","159,4","163,9","158,92","4,7","1,4%","2,2%",3.031,, Verified ORF
5202,YNL288W,CAF40,"62,2","62,9","65,8","64,4",67,"63,6","64,32","1,81","3,0%","3,4%",968,, Verified ORF
5203,YNL289W,PCL1,"104,9","102,4","99,2","97,4","97,8","96,6","99,72","3,26","2,8%","4,0%",260,, Verified ORF
5204,YNL290W,RFC3,"65,9","64,8","64,6","66,5","67,1","71,7","66,77","2,6","1,1%","4,5%",318,, Verified ORF
5205,YNL291C,MID1,"43,2","40,8","44,3","45,7",44,"43,7","43,62","1,62","4,2%","2,9%",711,, Verified ORF
5206,YNL292W,PUS4,44,"44,9","45,4","45,4","41,7","45,8","44,53","1,52","1,6%","6,1%",521,, Verified ORF
5207,YNL293W,MSB3,31,"30,5","28,2","30,6","31,2","28,2","29,95","1,38","5,0%","0,7%",377,, Verified ORF
5208,YNL294C,RIM21,"56,1","62,9","57,2","63,6",63,"63,9","61,12","3,5","6,2%","9,9%",654,, Verified ORF
5209,YNL295W,YNL295W,"28,3","30,4","30,1","28,3","28,8","29,1","29,17","0,9","3,8%","6,5%",254,, Uncharacterized ORF
5210,YNL296W,YNL296W,"0,2","0,2","0,6",0,"0,2","0,1","0,22","0,2","69,3%","86,6%",,, Dubious ORF
5211,YNL297C,MON2,61,"63,1","59,5","64,9","59,7","65,1","62,22","2,51","3,0%","3,3%",1.078,, Verified ORF
5212,YNL298W,CLA4,"43,8","41,8","38,5",42,"47,7","42,1","42,65","3,02","6,5%","4,0%",562,, Verified ORF
5213,YNL299W,TRF5,"30,9","32,5","31,4","32,2","36,5","35,4","33,15","2,27","2,6%","6,4%",545,, Verified ORF
5214,YNL300W,YNL300W,"318,1","328,9","330,5","305,4",310,"309,1",317,"10,69","2,1%","4,9%",1.135,, Uncharacterized ORF
5215,YNL303W,YNL303W,"0,6","0,9","0,9","0,6",1,"1,3","0,88","0,26","21,7%","31,5%",,, Dubious ORF
5216,YNL304W,YPT11,"17,2","17,1","17,3","16,7","17,2",18,"17,25","0,42","0,6%","1,9%",172,, Verified ORF
5217,YNL305C,YNL305C,"47,5","50,2",51,"51,6","49,1",48,"49,57","1,65","3,7%","5,3%",922,, Uncharacterized ORF
5218,YNL306W,MRPS18,"118,1","120,9","126,8","135,6","128,1","132,4","126,98","6,65","3,6%","7,4%",1.120,, Verified ORF
5219,YNL307C,MCK1,"126,4","129,7","125,1","122,1","118,4","123,5","124,2","3,86","1,9%","2,3%",2.437,, Verified ORF
5220,YNL308C,KRI1,"348,2","345,6","340,5",393,"381,5","384,5","365,55","23,21","1,1%","15,2%",2.296,, Verified ORF
5221,YNL309W,STB1,"20,9","22,4","23,2","23,6","21,5","22,9","22,42","1,04","5,3%","6,5%",134,, Verified ORF
5222,YNL310C,ZIM17,36,"37,1","40,2","35,6","38,5","39,3","37,78","1,85","5,8%","5,0%",215,, Verified ORF
5223,YNL311C,YNL311C,"33,8","33,7",34,"34,3",33,"37,1","34,32","1,43","0,5%","1,2%",553,, Verified ORF
5224,YNL313C,YNL313C,60,"58,3","57,5","57,8","58,5","52,9","57,5","2,41","2,2%","4,7%",588,, Uncharacterized ORF
5225,YNL314W,DAL82,19,"21,7","20,1","18,7","21,7","21,3","20,42","1,35","6,7%","4,1%",180,, Verified ORF
5226,YNL315C,ATP11,"51,6","52,5",50,"53,4","55,1","57,2","53,3","2,56","2,5%","3,2%",977,, Verified ORF
5227,YNL316C,PHA2,"21,9","23,2","22,5",22,"26,9","23,6","23,35","1,86","2,9%","1,7%",298,, Verified ORF
5228,YNL317W,PFS2,"29,6",30,"31,9","32,5","31,2","33,8","31,5","1,57","4,0%","7,1%",502,, Verified ORF
5229,YNL318C,HXT14,"0,8","0,5","0,6","0,4","0,5","0,9","0,62","0,19","24,1%","36,7%",23,, Verified ORF
5230,YNL319W,YNL319W,"5,7","6,5","5,7","5,7","7,6","7,2","6,4","0,84","7,7%","9,6%",,, Dubious ORF
5231,YNL320W,YNL320W,"50,7",56,"50,6","52,7","51,2","51,3","52,08","2,06","5,9%","4,3%",546,, Uncharacterized ORF
5232,YNL321W,VNX1,"50,7","51,1","52,2",51,"50,3","50,3","50,93","0,71","1,5%","2,4%",823,, Verified ORF
5233,YNL322C,KRE1,"108,6","111,5",116,"103,8",118,"114,4","112,05","5,23","3,3%","3,4%",831,, Verified ORF
5234,YNL323W,LEM3,"60,2","61,9","62,4","57,6","63,3","60,7","61,02","2,02","1,9%","2,6%",727,, Verified ORF
5235,YNL324W,YNL324W,"0,8","0,8","1,2","1,3","0,7","1,2",1,"0,26","24,7%","34,4%",,, Dubious ORF
5236,YNL325C,FIG4,21,"20,9","22,1","20,5","23,1",23,"21,77","1,13","3,1%","3,2%",405,, Verified ORF
5237,YNL326C,PFA3,34,"29,2","33,9","29,6","32,8",35,"32,42","2,44","8,5%","7,2%",383,, Verified ORF
5238,YNL327W,EGT2,"329,8","326,6","322,9","331,5","342,3","322,8","329,32","7,27","1,1%","9,3%",2.818,, Verified ORF
5239,YNL328C,MDJ2,"3,2","3,6","3,8","3,4","3,1","5,1","3,7","0,73","8,6%","3,5%",22,, Verified ORF
5240,YNL329C,PEX6,"36,9",38,"37,4","37,6","37,8","36,2","37,32","0,66","1,5%","4,8%",829,, Verified ORF
5241,YNL330C,RPD3,"90,2","86,4","92,4","89,6","89,3","92,3","90,03","2,22","3,4%","7,3%",1.202,, Verified ORF
5242,YNL331C,AAD14,"20,6","20,5","21,8","24,9","25,6","20,7","22,35","2,31","3,5%","10,5%",243,, Verified ORF
5243,YNL332W,THI12,"10,6","8,4","2,2","3,2","2,5","7,4","5,72","3,55","61,6%","86,0%",,, Verified ORF
5244,YNL333W,SNZ2,"15,9","16,2","14,8","12,3","17,5","14,2","15,15","1,81","4,7%","13,4%",,, Verified ORF
5245,YNL334C,SNO2,"13,3","9,6","10,6","11,7","10,3","11,1","11,1","1,29","17,1%","11,0%",,, Verified ORF
5246,YNL335W,YNL335W,"2,2","2,2","1,6","1,7","1,3","1,9","1,82","0,35","17,3%","28,5%",,, Uncharacterized ORF
5247,YNL336W,COS1,27,"16,3","20,6",26,"23,5","18,7","22,02","4,21","25,3%","27,0%",,, Verified ORF
5248,YNL337W,YNL337W,0,0,"0,3","0,3",0,0,"0,1","0,15","173,2%","86,6%",,, Dubious ORF
5249,YNL338W,YNL338W,0,0,0,0,"0,1","0,1","0,03","0,05",N/A,N/A,,, Dubious ORF
5250,YNL339W-A,YNL339W-A,"0,3","0,1","0,2","0,2","0,2","0,3","0,22","0,08","50,0%","24,7%",,, Dubious ORF
5251,YNL339W-B,YNL339W-B,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
5252,YNR001C,CIT1,268,"281,4","272,9","272,1","272,9","261,1","271,4","6,67","2,5%","2,4%",3.712,, Verified ORF
5253,YNR001W-A,YNR001W-A,"0,5","0,5","0,3","0,7","0,6","0,8","0,57","0,18","26,6%","20,4%",,, Dubious ORF
5254,YNR002C,ATO2,"8,2","8,7","8,8","7,9","8,2","8,7","8,42","0,37","3,8%","2,6%",50,, Verified ORF
5255,YNR003C,RPC34,"50,2","47,8","51,1","47,2","47,8","48,1","48,7","1,56","3,4%","4,3%",478,, Verified ORF
5256,YNR003W-A,YNR003W-A,"0,2","0,6","0,8","0,6","0,5","0,5","0,53","0,2","57,3%","69,3%",,, Dubious ORF
5257,YNR004W,YNR004W,"16,3","15,9",17,"16,9","17,4","18,3","16,97","0,84","3,4%","6,9%",100,, Uncharacterized ORF
5258,YNR005C,YNR005C,"0,1","0,3",0,"0,3",0,0,"0,12","0,15","114,6%","114,6%",,, Dubious ORF
5259,YNR006W,VPS27,"50,1","53,8","54,6","51,4","53,5","50,3","52,28","1,93","4,5%","2,4%",796,, Verified ORF
5260,YNR007C,ATG3,30,"28,9","26,1",27,"26,9","28,8","27,95","1,5","7,1%","11,3%",142,, Verified ORF
5261,YNR008W,LRO1,"30,2","26,2","24,2","28,1","26,5","27,9","27,18","2,04","11,4%","6,2%",570,, Verified ORF
5262,YNR009W,NRM1,"38,4","38,8","37,8","44,4","43,8","39,9","40,52","2,87","1,3%","8,9%",452,, Verified ORF
5263,YNR010W,CSE2,"36,9","37,5","34,4","37,9","39,2","33,9","36,63","2,07","4,5%","7,2%",184,, Verified ORF
5264,YNR011C,PRP2,"37,7","36,1","34,9","41,2","38,6",37,"37,58","2,18","3,9%","4,4%",191,, Verified ORF
5265,YNR012W,URK1,"52,7","52,5","49,1","54,6","54,8","56,7","53,4","2,61","3,9%","6,9%",890,, Verified ORF
5266,YNR013C,PHO91,"116,6","116,9","117,8","116,4","119,1","123,5","118,38","2,7","0,5%","1,6%",1.170,, Verified ORF
5267,YNR014W,YNR014W,"28,9","26,3","27,6","26,3","27,3","29,4","27,63","1,3","4,7%","7,1%",245,, Uncharacterized ORF
5268,YNR015W,SMM1,"52,3","53,7","55,4","58,7","54,9","62,5","56,25","3,73","2,9%","9,1%",365,, Verified ORF
5269,YNR016C,ACC1,"440,6","440,9","440,9","450,1",451,"452,8","446,05","5,82","0,0%","8,8%",8.760,, Verified ORF
5270,YNR017W,TIM23,"171,5","163,2","168,2","177,9","174,9","172,1","171,3","5,15","2,5%","1,9%",1.389,, Verified ORF
5271,YNR018W,YNR018W,"161,9","163,7","166,2","154,2",152,"150,5","158,08","6,66","1,3%","4,5%",884,, Uncharacterized ORF
5272,YNR019W,ARE2,"7,6","8,9","6,7","8,5","7,3","9,5","8,08","1,06","14,3%","6,0%",219,, Verified ORF
5273,YNR020C,ATP23,"36,3",38,35,"39,4","35,7","36,8","36,87","1,6","4,1%","4,2%",576,, Verified ORF
5274,YNR021W,YNR021W,"210,2","208,8","214,1","208,4","212,5","209,3","210,55","2,27","1,3%","0,8%",3.846,, Uncharacterized ORF
5275,YNR022C,MRPL50,"58,3",65,"60,8","60,8","61,1","62,3","61,38","2,2","5,5%","3,6%",303,, Verified ORF
5276,YNR023W,SNF12,"29,9",30,"32,4",34,"31,2","30,1","31,27","1,65","4,6%","6,4%",400,, Verified ORF
5277,YNR024W,YNR024W,"44,6","43,9","46,1","49,4","47,1","49,1","46,7","2,27","2,5%","7,6%",285,, Verified ORF
5278,YNR025C,YNR025C,"8,9","8,4","8,2","8,7","9,7","9,9","8,97","0,69","4,2%","1,7%",,, Dubious ORF
5279,YNR026C,SEC12,47,"46,9","44,8","45,5","40,3","46,4","45,15","2,52","2,7%","2,5%",533,, Verified ORF
5280,YNR027W,BUD17,"52,7","53,4","52,6","52,2","55,6","53,5","53,33","1,22","0,8%","7,2%",728,, Verified ORF
5281,YNR028W,CPR8,"66,9","65,1",74,"69,2","70,6","69,3","69,18","3,07","6,9%","2,8%",413,, Verified ORF
5282,YNR029C,YNR029C,"62,8","63,2","61,3","61,9","60,2","59,1","61,42","1,56","1,6%","4,6%",313,, Uncharacterized ORF
5283,YNR030W,ALG12,"61,2","57,7","61,9","59,6","60,4","62,2","60,5","1,67","3,7%","2,5%",863,, Verified ORF
5284,YNR031C,SSK2,"56,7",61,"58,1","56,6","56,8","54,2","57,23","2,24","3,7%","1,1%",745,, Verified ORF
5285,YNR032C-A,HUB1,"98,6","102,2","100,8","94,3","91,1","94,3","96,88","4,32","1,8%","2,5%",186,, Verified ORF
5286,YNR032W,PPG1,"43,5","43,6","43,1","41,9","40,3","41,8","42,37","1,28","0,6%","6,5%",487,, Verified ORF
5287,YNR033W,ABZ1,"34,7","38,8","35,4","36,8",37,"34,9","36,27","1,57","6,0%","3,5%",395,, Verified ORF
5288,YNR034W,SOL1,"47,4","45,6","44,6","46,6","44,5","46,7","45,9","1,19","3,1%","1,5%",475,, Verified ORF
5289,YNR034W-A,YNR034W-A,125,"126,1","121,5","130,6",127,134,"127,37","4,39","1,9%","2,4%",838,, Uncharacterized ORF
5290,YNR035C,ARC35,"192,8","191,4","192,5","200,5","197,2","192,4","194,47","3,58","0,4%","2,0%",2.226,, Verified ORF
5291,YNR036C,YNR036C,"139,8","147,6",146,"153,6","152,3",158,"149,55","6,43","2,9%","4,9%",957,, Verified ORF
5292,YNR037C,RSM19,63,"66,7","68,2","65,5","66,1","60,7","65,03","2,72","4,1%","3,0%",190,, Verified ORF
5293,YNR038W,DBP6,"54,7","49,3","46,7","51,3","52,5","54,4","51,48","3,08","8,1%","3,7%",1.108,, Verified ORF
5294,YNR039C,ZRG17,"46,4","43,2","42,3","43,1","44,7","42,7","43,73","1,54","4,9%","5,2%",588,, Verified ORF
5295,YNR040W,YNR040W,"25,4","26,2",26,"24,3","24,1",25,"25,17","0,86","1,6%","5,0%",345,, Uncharacterized ORF
5296,YNR041C,COQ2,34,"38,5","39,2","35,5","39,9","36,5","37,27","2,31","7,6%","4,0%",344,, Verified ORF
5297,YNR042W,YNR042W,"0,3","0,6","0,2","0,1","0,2","0,4","0,3","0,18","56,8%","49,5%",,, Dubious ORF
5298,YNR043W,MVD1,"142,2","148,5","145,4","147,5","142,9","145,1","145,27","2,47","2,2%","2,1%",1.829,, Verified ORF
5299,YNR044W,AGA1,"558,5","560,6","558,9","574,6","597,8","575,9","571,05","15,27","0,2%","3,1%",5.466,, Verified ORF
5300,YNR045W,PET494,29,27,"26,4","27,1","25,6","27,8","27,15","1,17","5,0%","4,6%",894,, Verified ORF
5301,YNR046W,TRM112,"164,8","164,8",169,"161,7","161,5","160,2","163,67","3,21","1,5%","4,1%",401,, Verified ORF
5302,YNR047W,YNR047W,"21,3","20,4",23,"22,2","22,6","23,7","22,2","1,19","6,1%","6,8%",235,, Uncharacterized ORF
5303,YNR048W,YNR048W,27,"27,2","23,5",25,"24,2",25,"25,32","1,49","8,0%","4,1%",305,, Verified ORF
5304,YNR049C,MSO1,"55,4",57,"54,7","59,1","59,1","59,8","57,52","2,14","2,1%","3,4%",385,, Verified ORF
5305,YNR050C,LYS9,"661,3","661,8","661,1","687,9","675,1","676,9","670,68","11,08","0,1%","6,2%",5.457,, Verified ORF
5306,YNR051C,BRE5,"199,7","204,2","205,5","208,7","204,4","206,4","204,82","2,99","1,5%","10,1%",1.757,, Verified ORF
5307,YNR052C,POP2,"65,1","66,8","63,8","68,2","66,7","69,5","66,68","2,05","2,3%","2,7%",1.330,, Verified ORF
5308,YNR054C,ESF2,"125,2","118,1","121,6","135,9","136,1","134,9","128,63",8,"2,9%","13,1%",714,, Verified ORF
5309,YNR055C,HOL1,"65,5","68,9","66,6","68,8","61,6","64,8","66,03","2,74","2,6%","2,5%",948,, Verified ORF
5310,YNR056C,BIO5,"1,5","2,2","2,9","1,4","2,5","2,7","2,2","0,63","31,8%","57,3%",83,, Verified ORF
5311,YNR057C,BIO4,"15,2",14,15,"15,9","18,5","16,1","15,78","1,53","4,4%","7,9%",114,, Verified ORF
5312,YNR058W,BIO3,"12,4","10,6","11,8","10,6","9,8","9,2","10,73","1,2","7,9%","9,9%",250,, Verified ORF
5313,YNR059W,MNT4,"23,3","24,1",23,"23,6",22,"24,7","23,45","0,93","2,4%","4,9%",494,, Verified ORF
5314,YNR060W,FRE4,"6,4","6,7","5,5","6,3","6,6","5,3","6,13","0,59","10,1%","2,4%",84,, Verified ORF
5315,YNR061C,YNR061C,"89,9","86,2","87,3","89,2","88,7","88,4","88,28","1,34","2,2%","2,4%",519,, Uncharacterized ORF
5316,YNR062C,YNR062C,2,"3,2","2,9","1,8","2,4","2,2","2,42","0,54","23,1%","21,8%",22,, Uncharacterized ORF
5317,YNR063W,YNR063W,"6,6","7,7","8,9","7,6","7,9","6,4","7,52","0,92","14,9%","7,9%",48,, Uncharacterized ORF
5318,YNR064C,YNR064C,"1,1","1,1","1,6","0,8","1,3",1,"1,15","0,27","22,8%","23,6%",55,, Verified ORF
5319,YNR065C,YNR065C,"26,8","26,7","25,7","26,1","26,8","28,9","26,83","1,11","2,3%","4,6%",1.110,, Uncharacterized ORF
5320,YNR066C,YNR066C,"6,3","4,9","6,7","7,7","6,2","5,8","6,27","0,93","15,8%","11,9%",37,, Uncharacterized ORF
5321,YNR067C,DSE4,"94,4","96,3","97,5","95,5",95,"100,4","96,52","2,19","1,6%","0,6%",992,, Verified ORF
5322,YNR068C,YNR068C,"11,3",10,"9,1","8,9","9,5","11,8","10,1","1,19","10,9%","12,3%",466,, Uncharacterized ORF
5323,YNR069C,BSC5,"11,8","13,5","13,4","12,7","9,6","12,7","12,28","1,45","7,4%","8,2%",143,, Verified ORF
5324,YNR070W,YNR070W,"9,6","10,3","10,6","10,4","9,8","10,1","10,13","0,38","5,0%","11,0%",32,, Uncharacterized ORF
5325,YNR071C,YNR071C,"11,5","9,6","10,1","9,6","10,4","9,5","10,12","0,76","9,5%","9,0%",181,, Uncharacterized ORF
5326,YNR072W,HXT17,"3,5","3,7","2,9","3,3","2,7","2,3","3,07","0,53","12,4%","4,6%",36,, Verified ORF
5327,YNR073C,YNR073C,"12,6",14,"13,5","12,7","14,1","11,7","13,1","0,93","5,3%","0,5%",,, Uncharacterized ORF
5328,YNR074C,AIF1,"59,7","65,4","60,9","63,3","65,2","59,9","62,4","2,59","4,8%","4,9%",764,, Verified ORF
5329,YNR075C-A,YNR075C-A,0,0,0,0,0,0,0,0,N/A,N/A,66,, Uncharacterized ORF
5330,YNR075W,COS10,24,25,"24,4","24,1","25,6","25,3","24,73","0,66","2,1%","3,9%",111,, Verified ORF
5331,YNR076W,PAU6,14,"12,1","16,8","17,2",19,"16,6","15,95","2,48","16,5%","15,1%",,, Verified ORF
5332,YNR077C,YNR077C,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
5333,YOL001W,PHO80,"16,5","20,7","19,2","21,2","20,1","19,9","19,6","1,67","11,3%","12,8%",971,, Verified ORF
5334,YOL002C,IZH2,"122,5","121,1","126,8",122,"126,3","120,9","123,27","2,61","2,4%","3,7%",2.149,, Verified ORF
5335,YOL003C,PFA4,"29,2","31,3",28,"28,7",26,"29,4","28,77","1,75","5,7%","7,2%",382,, Verified ORF
5336,YOL004W,SIN3,"113,9","109,9","112,3","109,5","109,2","112,7","111,25","1,97","1,8%","2,8%",1.415,, Verified ORF
5337,YOL005C,RPB11,"160,7","168,5",162,"169,5","178,3","167,1","167,68","6,29","2,6%","4,6%",815,, Verified ORF
5338,YOL006C,TOP1,"65,9","67,2",66,"66,1","67,6","65,1","66,32","0,92","1,1%","1,1%",654,, Verified ORF
5339,YOL007C,CSI2,"56,4","55,7","58,6","57,2","58,6","63,1","58,27","2,64","2,7%","2,5%",1.025,, Verified ORF
5340,YOL008W,COQ10,"36,7","35,2",36,"34,5","32,3","36,4","35,18","1,63","2,1%","4,7%",243,, Verified ORF
5341,YOL009C,MDM12,"28,3","30,7","29,3","29,9","31,2","33,6","30,5","1,83","4,1%","11,1%",166,, Verified ORF
5342,YOL010W,RCL1,"105,8","104,7","108,1","109,8","106,2","106,3","106,82","1,83","1,6%","5,0%",625,, Verified ORF
5343,YOL011W,PLB3,"189,1","191,4","191,9","198,1","206,6","193,7","195,13","6,37","0,8%","4,7%",1.320,, Verified ORF
5344,YOL012C,HTZ1,"118,6","117,1","111,6",117,"117,1","116,3","116,28","2,41","3,2%","5,5%",589,, Verified ORF
5345,YOL013C,HRD1,"24,1","22,8","22,5","23,3","27,5","24,7","24,15","1,83","3,7%","3,3%",556,, Verified ORF
5346,YOL013W-A,YOL013W-A,"47,2","47,7",43,"42,1","43,4","37,7","43,52","3,67","5,6%","5,8%",,, Uncharacterized ORF
5347,YOL013W-B,YOL013W-B,"3,6","2,5","2,4","1,9","1,9","2,3","2,43","0,63","23,5%","32,3%",26,, Dubious ORF
5348,YOL014W,YOL014W,"33,6","34,3","30,3","36,6","33,7","31,9","33,4","2,15","6,5%","7,6%",387,, Uncharacterized ORF
5349,YOL015W,YOL015W,"9,6","10,1","8,9","10,1","10,7","9,9","9,88","0,6","6,3%","4,0%",145,, Uncharacterized ORF
5350,YOL016C,CMK2,"58,9",58,"56,7","54,6","56,5",56,"56,78","1,51","1,9%","3,8%",550,, Verified ORF
5351,YOL017W,ESC8,"30,1","28,9","28,7","27,6","25,8","26,4","27,92","1,63","2,6%","4,8%",327,, Verified ORF
5352,YOL018C,TLG2,"53,6",57,"53,7","52,7","48,8","50,9","52,78","2,78","3,5%","7,1%",378,, Verified ORF
5353,YOL019W,YOL019W,"58,2",57,"58,5","59,8","58,8","55,7",58,"1,45","1,4%","1,5%",717,, Uncharacterized ORF
5354,YOL019W-A,YOL019W-A,"3,8","3,6","3,1","2,3","2,8","2,3","2,98","0,64","10,3%","26,2%",1,, Uncharacterized ORF
5355,YOL020W,TAT2,117,"115,2","116,9",115,"116,7","116,9","116,28","0,92","0,9%","2,9%",2.889,, Verified ORF
5356,YOL021C,DIS3,"102,5","97,1","99,7","103,7","99,4","103,2","100,93","2,6","2,7%","5,1%",1.528,, Verified ORF
5357,YOL022C,YOL022C,"83,5","88,5","76,9",79,84,"81,8","82,28","4,08","7,0%","3,9%",908,, Uncharacterized ORF
5358,YOL023W,IFM1,"20,7","21,4","20,3","21,7","20,6","23,3","21,33","1,1","2,7%","5,5%",253,, Verified ORF
5359,YOL024W,YOL024W,"2,7","2,2","1,9","1,9","1,6","1,8","2,02","0,39","17,8%","17,4%",164,, Uncharacterized ORF
5360,YOL025W,LAG2,27,28,"23,1","27,5","30,2","25,9","26,95","2,36","9,9%","6,3%",559,, Verified ORF
5361,YOL026C,MIM1,"98,5","99,5","104,4","110,7","102,4","102,6","103,02","4,34","3,1%","8,3%",397,, Verified ORF
5362,YOL027C,MDM38,"146,6","147,6","147,1","161,3","149,9","157,2","151,62","6,16","0,3%","8,2%",1.825,, Verified ORF
5363,YOL028C,YAP7,23,"21,3","17,7","21,4","20,1","21,4","20,82","1,78","13,1%","3,7%",297,, Verified ORF
5364,YOL029C,YOL029C,"20,7","22,3",19,"20,6","21,2","19,6","20,57","1,17","8,0%","6,3%",675,, Uncharacterized ORF
5365,YOL030W,GAS5,"236,7","237,5","231,5","238,5","246,5",243,"238,95","5,22","1,4%","1,6%",2.346,, Verified ORF
5366,YOL031C,SIL1,"42,2","42,3","47,2",43,"45,5","43,9","44,02","1,98","6,5%","1,2%",840,, Verified ORF
5367,YOL032W,OPI10,"26,2","27,4","24,6","23,2","23,9","26,1","25,23","1,59","5,4%","11,8%",213,, Verified ORF
