"ORF"	"Gene"	"Expression"
"YIL043C"	"CBR1"	"12.98"
"YIL044C"	"YIL044C"	"1.58"
"YIL045W"	"PIG2"	"2.24"
"YIL046W"	"MET30"	"2.01"
"YIL048W"	"NEO1"	"0.53"
"YIL049W"	"DFG10"	"1.08"
"YIL050W"	"PCL7"	"1.77"
"YIL051C"	"MMD1"	"74.62"
"YIL053W"	"RHR2"	"42.9"
"YIL054W"	"YIL054W"	"0.26"
"YIL055C"	"YIL055C"	"0.66"
"YIL056W"	"YIL056W"	"7.87"
"YIL057C"	"YIL057C"	"0.22"
"YIL058W"	"YIL058W"	"0.41"
"YIL064W"	"YIL064W"	"6.58"
"YIL065C"	"YIL065C"	"3.28"
"YIL066C"	"RNR3"	"0.27"
"YIL068C"	"SEC6"	"0.42"
"YIL071C"	"YIL071C"	"0.34"
"YIL072W"	"HOP1"	"0.26"
"YIL074C"	"YIL074C"	"2.72"
"YIL075C"	"RPN2"	"10.6"
"YIL076W"	"SEC28"	"0.49"
"YIL077C"	"YIL077C"	"1.08"
"YIL078W"	"THS1"	"11.16"
"YIL079C"	"YIL079C"	"0.93"
"YIL082W"	"YIL082W"	"1.33"
"YIL083C"	"YIL083C"	"2.1"
"YIL084C"	"SDS3"	"0.55"
"YIL085C"	"KTR7"	"1.79"
"YIL087C"	"YIL087C"	"1.87"
"YIL089W"	"YIL089W"	"0.43"
"YIL090W"	"YIL090W"	"3.37"
"YIL091C"	"YIL091C"	"0.35"
"YIL092W"	"YIL092W"	"0.61"
"YIL093C"	"YIL093C"	"1.07"
"YIL095W"	"PRK1"	"0.73"
"YIL096C"	"YIL096C"	"1.09"
"YIL097W"	"YIL097W"	"0.45"
"YIL099W"	"SGA1"	"0.16"
"YIL101C"	"XBP1"	"0.59"
"YIL103W"	"YIL103W"	"1.69"
"YIL105C"	"YIL105C"	"0.42"
"YIL107C"	"PFK26"	"0.3"
"YIL108W"	"YIL108W"	"2.07"
"YIL109C"	"SEC24"	"3.37"
"YIL110W"	"YIL110W"	"1.44"
"YIL111W"	"COX5B"	"2.61"
"YIL112W"	"YIL112W"	"0.7"
"YIL113W"	"YIL113W"	"0.68"
"YIL115C"	"NUP159"	"0.5"
"YIL116W"	"HIS5"	"3.37"
"YIL117C"	"YIL117C"	"6.2"
"YIL119C"	"RPI1"	"1.04"
"YIL120W"	"YIL120W"	"0.45"
"YIL121W"	"YIL121W"	"2.59"
"YIL123W"	"SIM1"	"16.99"
"YIL125W"	"KGD1"	"3.26"
"YIL126W"	"STH1"	"0.96"
"YIL127C"	"YIL127C"	"4.7"
"YIL128W"	"MET18"	"0.36"
"YIL130W"	"YIL130W"	"0.95"
"YIL131C"	"FKH1"	"0.62"
"YIL132C"	"YIL132C"	"0.49"
"YIL134W"	"FLX1"	"0.5"
"YIL135C"	"YIL135C"	"0.56"
"YIL136W"	"OM45"	"1.16"
"YIL137C"	"YIL137C"	"1.07"
"YIL138C"	"TPM2"	"2.19"
"YIL140W"	"SRO4"	"1.1"
"YIL142W"	"CCT2"	"13.12"
"YIL143C"	"SSL2"	"0.99"
"YIL144W"	"TID3"	"0.36"
"YIL145C"	"YIL145C"	"4.84"
"YIL147C"	"SLN1"	"0.46"
"YIL148W"	"RPL40A"	"117.68"
"YIL149C"	"YIL149C"	"0.6"
"YIL150C"	"DNA43"	"1.09"
"YIL151C"	"YIL151C"	"1.11"
"YIL152W"	"YIL152W"	"1.15"
"YIL153W"	"RRD1"	"1.96"
"YIL154C"	"IMP2'"	"1.29"
"YIL155C"	"GUT2"	"0.92"
"YIL156W"	"UBP7"	"0.72"
"YIL157C"	"YIL157C"	"2.42"
"YIL158W"	"YIL158W"	"2.12"
"YIL159W"	"BNR1"	"0.5"
"YIL160C"	"POT1"	"0.32"
"YIL162W"	"SUC2"	"1.16"
"YIL163C"	"YIL163C"	"1.06"
"YIL164C"	"NIT1"	"0.75"
"YIL165C"	"YIL165C"	"1.13"
"YIL166C"	"YIL166C"	"0.29"
"YIL167W"	"YIL167W"	"0.23"
"YIL168W"	"SDL1"	"0.3"
"YIL169C"	"YIL169C"	"1.57"
"YIL170W"	"HXT12"	"1.84"
"YIR001C"	"YIR001C"	"1.35"
"YIR002C"	"YIR002C"	"0.53"
"YIR003W"	"YIR003W"	"0.99"
"YIR004W"	"DJP1"	"1.81"
"YIR005W"	"YIR005W"	"0.5"
"YIR006C"	"PAN1"	"2.47"
"YIR007W"	"YIR007W"	"0.45"
"YIR008C"	"PRI1"	"1.65"
"YIR010W"	"YIR010W"	"1.7"
"YIR011C"	"STS1"	"4.4"
"YIR012W"	"SQT1"	"6.3"
"YIR014W"	"YIR014W"	"0.38"
"YIR015W"	"RPR2"	"0.92"
"YIR017C"	"MET28"	"0.29"
"YIR018W"	"YAP5"	"0.64"
"YIR019C"	"MUC1"	"0.16"
"YIR020C"	"YIR020C"	"0.36"
"YIR022W"	"SEC11"	"6.17"
"YIR023W"	"DAL81"	"0.7"
"YIR024C"	"GIF1"	"1.06"
"YIR025W"	"YIR025W"	"0.64"
"YIR026C"	"YVH1"	"1.84"
"YIR027C"	"DAL1"	"0.17"
"YIR028W"	"DAL4"	"0.46"
"YIR029W"	"DAL2"	"0.44"
"YIR030C"	"DCG1"	"0.48"
"YIR031C"	"DAL7"	"0.39"
"YIR032C"	"DAL3"	"0.57"
"YIR033W"	"MGA2"	"1.2"
"YIR034C"	"LYS1"	"3.32"
"YIR035C"	"YIR035C"	"5.5"
"YIR039C"	"YPS6"	"0.84"
"YIR042C"	"YIR042C"	"0.89"
"YJL001W"	"PRE3"	"10.04"
"YJL002C"	"OST1"	"6.71"
"YJL003W"	"YJL003W"	"1.85"
"YJL005W"	"CYR1"	"1.1"
"YJL006C"	"CTK2"	"0.84"
"YJL007C"	"YJL007C"	"0.23"
"YJL008C"	"CCT8"	"12.58"
"YJL010C"	"YJL010C"	"1.18"
"YJL011C"	"YJL011C"	"1.8"
"YJL012C"	"YJL012C"	"7.77"
"YJL013C"	"MAD3"	"0.35"
"YJL014W"	"CCT3"	"6.19"
"YJL016W"	"YJL016W"	"0.94"
"YJL017W"	"YJL017W"	"0.56"
"YJL018W"	"YJL018W"	"1.22"
"YJL019W"	"YJL019W"	"0.8"
"YJL020C"	"YJL020C"	"1.41"
"YJL021C"	"YJL021C"	"1.73"
"YJL022W"	"YJL022W"	"0.36"
"YJL023C"	"PET130"	"0.71"
"YJL025W"	"RRN7"	"0.58"
"YJL027C"	"YJL027C"	"0.13"
"YJL028W"	"YJL028W"	"0.07"
"YJL029C"	"YJL029C"	"4.01"
"YJL030W"	"MAD2"	"3.18"
"YJL031C"	"BET4"	"1.03"
"YJL032W"	"YJL032W"	"0.97"
"YJL033W"	"HCA4"	"1.29"
"YJL035C"	"YJL035C"	"0.72"
"YJL036W"	"YJL036W"	"0.36"
"YJL037W"	"YJL037W"	"0.1"
"YJL039C"	"YJL039C"	"1.05"
"YJL041W"	"NSP1"	"2.36"
"YJL042W"	"MHP1"	"2.15"
"YJL043W"	"YJL043W"	"0.25"
"YJL044C"	"GYP6"	"2.18"
"YJL045W"	"YJL045W"	"0.19"
"YJL046W"	"YJL046W"	"0.66"
"YJL048C"	"YJL048C"	"0.78"
"YJL049W"	"YJL049W"	"0.52"
"YJL051W"	"YJL051W"	"0.51"
"YJL052W"	"TDH1"	"5.31"
"YJL053W"	"PEP8"	"1.5"
"YJL054W"	"TIM54"	"0.94"
"YJL056C"	"ZAP1"	"0.36"
"YJL057C"	"IKS1"	"0.63"
"YJL058C"	"YJL058C"	"0.47"
"YJL059W"	"YHC3"	"0.75"
"YJL061W"	"NUP82"	"0.46"
"YJL065C"	"YJL065C"	"3.1"
"YJL066C"	"YJL066C"	"0.89"
"YJL067W"	"YJL067W"	"1.23"
"YJL068C"	"YJL068C"	"3.09"
"YJL069C"	"YJL069C"	"1.58"
"YJL070C"	"YJL070C"	"0.29"
"YJL071W"	"ARG2"	"0.39"
"YJL072C"	"YJL072C"	"1.38"
"YJL073W"	"JEM1"	"0.63"
"YJL074C"	"SMC3"	"0.54"
"YJL075C"	"YJL075C"	"4.97"
"YJL077C"	"YJL077C"	"1.54"
"YJL078C"	"PRY3"	"7.16"
"YJL080C"	"SCP160"	"14.68"
"YJL082W"	"YJL082W"	"1.4"
"YJL084C"	"YJL084C"	"0.98"
"YJL086C"	"YJL086C"	"0.12"
"YJL087C"	"TRL1"	"0.42"
"YJL088W"	"ARG3"	"0.65"
"YJL089W"	"SIP4"	"0.21"
"YJL090C"	"DPB11"	"0.9"
"YJL091C"	"YJL091C"	"0.78"
"YJL092W"	"HPR5"	"0.69"
"YJL093C"	"TOK1"	"1.99"
"YJL094C"	"YJL094C"	"0.79"
"YJL095W"	"BCK1"	"0.42"
"YJL097W"	"YJL097W"	"5.86"
"YJL099W"	"CHS6"	"0.34"
"YJL100W"	"YJL100W"	"1.26"
"YJL101C"	"GSH1"	"2.51"
"YJL102W"	"MEF2"	"0.6"
"YJL103C"	"YJL103C"	"0.3"
"YJL105W"	"YJL105W"	"0.22"
"YJL106W"	"IME2"	"0.39"
"YJL107C"	"YJL107C"	"0.94"
"YJL108C"	"YJL108C"	"1.54"
"YJL109C"	"YJL109C"	"1.79"
"YJL110C"	"GZF3"	"0.8"
"YJL111W"	"CCT7"	"8.28"
"YJL112W"	"YJL112W"	"0.84"
"YJL113W"	"YJL113W"	"0.2"
"YJL114W"	"YJL114W"	"0.15"
"YJL115W"	"ASF1"	"1.31"
"YJL116C"	"NCA3"	"0.44"
"YJL117W"	"PHO86"	"9.01"
"YJL118W"	"YJL118W"	"1.17"
"YJL119C"	"YJL119C"	"1.1"
"YJL120W"	"YJL120W"	"0.27"
"YJL122W"	"YJL122W"	"4.83"
"YJL123C"	"YJL123C"	"2.84"
"YJL125C"	"GCD14"	"1.73"
"YJL126W"	"NIT2"	"0.74"
"YJL127C"	"SPT10"	"0.38"
"YJL128C"	"PBS2"	"0.55"
"YJL129C"	"TRK1"	"0.69"
"YJL130C"	"URA2"	"12.47"
"YJL132W"	"YJL132W"	"0.81"
"YJL133W"	"MRS3"	"3.06"
"YJL137C"	"GLG2"	"1.35"
"YJL138C"	"TIF2"	"57.03"
"YJL139C"	"YUR1"	"0.67"
"YJL140W"	"RPB4"	"7.06"
"YJL141C"	"YAK1"	"1.1"
"YJL143W"	"TIM17"	"13.61"
"YJL144W"	"YJL144W"	"1.68"
"YJL145W"	"YJL145W"	"2.29"
"YJL146W"	"IDS2"	"0.39"
"YJL147C"	"YJL147C"	"0.37"
"YJL148W"	"RPA34"	"15.25"
"YJL151C"	"YJL151C"	"22.29"
"YJL152W"	"YJL152W"	"19.32"
"YJL153C"	"INO1"	"0.39"
"YJL155C"	"FBP26"	"0.49"
"YJL156C"	"SSY5"	"0.59"
"YJL157C"	"FAR1"	"2.3"
"YJL158C"	"CIS3"	"41.47"
"YJL161W"	"YJL161W"	"0.52"
"YJL162C"	"YJL162C"	"0.17"
"YJL163C"	"YJL163C"	"0.41"
"YJL164C"	"SRA3"	"1.65"
"YJL165C"	"HAL5"	"2.31"
"YJL167W"	"ERG20"	"16.43"
"YJL168C"	"SET2"	"0.43"
"YJL172W"	"CPS1"	"4.58"
"YJL173C"	"RFA3"	"12.65"
"YJL176C"	"SWI3"	"0.61"
"YJL179W"	"PFD1"	"2.86"
"YJL183W"	"MNN11"	"3.64"
"YJL184W"	"YJL184W"	"11.03"
"YJL185C"	"YJL185C"	"0.54"
"YJL187C"	"SWE1"	"1.29"
"YJL188C"	"YJL188C"	"237.3"
"YJL190C"	"RPS22A"	"78.56"
"YJL191W"	"RPS14B"	"51.77"
"YJL192C"	"YJL192C"	"5.63"
"YJL194W"	"CDC6"	"0.48"
"YJL195C"	"YJL195C"	"0.53"
"YJL196C"	"ELO1"	"7.03"
"YJL197W"	"UBP12"	"1.16"
"YJL199C"	"YJL199C"	"0.68"
"YJL200C"	"YJL200C"	"2.63"
"YJL201W"	"ECM25"	"0.7"
"YJL204C"	"YJL204C"	"1.19"
"YJL206C"	"YJL206C"	"0.52"
"YJL208C"	"NUC1"	"6.19"
"YJL209W"	"CBP1"	"0.64"
"YJL210W"	"PEX2"	"2.46"
"YJL211C"	"YJL211C"	"2.31"
"YJL212C"	"YJL212C"	"2.21"
"YJL213W"	"YJL213W"	"1.35"
"YJL214W"	"HXT8"	"0.21"
"YJL216C"	"YJL216C"	"0.23"
"YJL217W"	"YJL217W"	"10.64"
"YJR001W"	"YJR001W"	"6.36"
"YJR002W"	"MPP10"	"2.79"
"YJR003C"	"YJR003C"	"0.93"
"YJR004C"	"SAG1"	"2.21"
"YJR005W"	"APL1"	"1.46"
"YJR006W"	"HYS2"	"3.26"
"YJR008W"	"YJR008W"	"0.35"
"YJR009C"	"TDH2"	"63.22"
"YJR010W"	"MET3"	"1.34"
"YJR011C"	"YJR011C"	"1.87"
"YJR012C"	"YJR012C"	"0.97"
"YJR013W"	"YJR013W"	"0.79"
"YJR014W"	"YJR014W"	"13.56"
"YJR015W"	"YJR015W"	"8.01"
"YJR016C"	"ILV3"	"13.14"
"YJR017C"	"ESS1"	"3.33"
"YJR018W"	"YJR018W"	"0.13"
"YJR019C"	"TES1"	"0.86"
"YJR021C"	"REC107"	"1.22"
"YJR024C"	"YJR024C"	"7.22"
"YJR030C"	"YJR030C"	"0.66"
"YJR031C"	"GEA1"	"0.78"
"YJR032W"	"CPR7"	"1.38"
"YJR034W"	"PET191"	"0.72"
"YJR035W"	"RAD26"	"0.53"
"YJR037W"	"YJR037W"	"0.18"
"YJR039W"	"YJR039W"	"0.12"
"YJR040W"	"GEF1"	"1.15"
"YJR041C"	"YJR041C"	"1.69"
"YJR042W"	"NUP85"	"1.12"
"YJR043C"	"POL32"	"0.81"
"YJR044C"	"YJR044C"	"12.05"
"YJR045C"	"SSC1"	"9.95"
"YJR047C"	"ANB1"	"3.61"
"YJR049C"	"UTR1"	"1.22"
"YJR050W"	"ISY1"	"0.57"
"YJR051W"	"OSM1"	"3.32"
"YJR052W"	"RAD7"	"0.74"
"YJR054W"	"YJR054W"	"1.09"
"YJR056C"	"YJR056C"	"1.29"
"YJR057W"	"CDC8"	"1.99"
"YJR059W"	"PTK2"	"1.96"
"YJR061W"	"YJR061W"	"0.33"
"YJR062C"	"NTA1"	"0.93"
"YJR063W"	"RPA12"	"4.1"
"YJR065C"	"ARP3"	"7.97"
"YJR066W"	"TOR1"	"0.27"
"YJR067C"	"YAE1"	"1.83"
"YJR068W"	"RFC2"	"2.98"
"YJR069C"	"HAM1"	"4.6"
"YJR070C"	"YJR070C"	"14.21"
"YJR074W"	"MOG1"	"2.98"
"YJR075W"	"HOC1"	"6.04"
"YJR076C"	"CDC11"	"3.09"
"YJR078W"	"YJR078W"	"0.52"
"YJR080C"	"YJR080C"	"3.66"
"YJR082C"	"YJR082C"	"3.09"
"YJR083C"	"YJR083C"	"3.73"
"YJR084W"	"YJR084W"	"0.7"
"YJR086W"	"STE18"	"8.6"
"YJR087W"	"YJR087W"	"4.11"
"YJR088C"	"YJR088C"	"3.18"
"YJR090C"	"GRR1"	"1.73"
"YJR091C"	"JSN1"	"1.36"
"YJR092W"	"BUD4"	"1.96"
"YJR093C"	"FIP1"	"1.24"
"YJR094C"	"IME1"	"0.61"
"YJR096W"	"YJR096W"	"1.71"
"YJR097W"	"YJR097W"	"0.96"
"YJR100C"	"YJR100C"	"0.44"
"YJR101W"	"YJR101W"	"4.63"
"YJR102C"	"YJR102C"	"0.64"
"YJR103W"	"URA8"	"2.65"
"YJR104C"	"SOD1"	"93.08"
"YJR105W"	"YJR105W"	"18.61"
"YJR106W"	"ECM27"	"0.97"
"YJR107W"	"YJR107W"	"0.89"
"YJR109C"	"CPA2"	"1.19"
"YJR110W"	"YJR110W"	"0.4"
"YJR111C"	"YJR111C"	"0.61"
"YJR113C"	"YJR113C"	"2.49"
"YJR115W"	"YJR115W"	"0.84"
"YJR116W"	"YJR116W"	"1.16"
"YJR117W"	"STE24"	"4.55"
"YJR118C"	"YJR118C"	"5.79"
"YJR119C"	"YJR119C"	"0.4"
"YJR120W"	"YJR120W"	"0.24"
"YJR121W"	"ATP2"	"64.64"
"YJR122W"	"CAF17"	"0.28"
"YJR124C"	"YJR124C"	"3.33"
"YJR126C"	"YJR126C"	"1.97"
"YJR127C"	"ZMS1"	"1.42"
"YJR128W"	"YJR128W"	"0.37"
"YJR129C"	"YJR129C"	"1.08"
"YJR130C"	"YJR130C"	"0.94"
"YJR131W"	"MNS1"	"2.37"
"YJR132W"	"NMD5"	"32.76"
"YJR134C"	"YJR134C"	"0.73"
"YJR135C"	"MCM22"	"0.69"
"YJR137C"	"ECM17"	"0.68"
"YJR139C"	"HOM6"	"21.77"
"YJR140C"	"HIR3"	"0.48"
"YJR142W"	"YJR142W"	"1.59"
"YJR143C"	"PMT4"	"5.08"
"YJR144W"	"MGM101"	"4.01"
"YJR145C"	"RPS4A"	"162.23"
"YJR148W"	"BAT2"	"18.02"
"YJR150C"	"DAN1"	"0.31"
"YJR151C"	"YJR151C"	"0.17"
"YJR152W"	"DAL5"	"0.54"
"YJR161C"	"COS5"	"0.47"
"YKL003C"	"MRP17"	"3.76"
"YKL005C"	"YKL005C"	"0.74"
"YKL007W"	"CAP1"	"4.2"
"YKL009W"	"MRT4"	"14.3"
"YKL010C"	"UFD4"	"0.42"
"YKL011C"	"CCE1"	"0.37"
"YKL012W"	"PRP40"	"1.76"
"YKL014C"	"YKL014C"	"1.53"
"YKL015W"	"PUT3"	"0.38"
"YKL016C"	"ATP7"	"13.44"
"YKL017C"	"HCS1"	"0.32"
"YKL018W"	"YKL018W"	2
"YKL019W"	"RAM2"	"2.26"
"YKL020C"	"SPT23"	"2.97"
"YKL021C"	"MAK11"	"1.52"
"YKL022C"	"CDC16"	"1.43"
"YKL023W"	"YKL023W"	"1.59"
"YKL024C"	"URA6"	"4.46"
"YKL025C"	"PAN3"	"1.54"
"YKL026C"	"YKL026C"	"0.83"
"YKL027W"	"YKL027W"	"1.65"
"YKL028W"	"TFA1"	"1.25"
"YKL030W"	"YKL030W"	"2.89"
"YKL031W"	"YKL031W"	"0.34"
"YKL032C"	"IXR1"	"3.11"
"YKL033W"	"YKL033W"	"0.99"
"YKL034W"	"YKL034W"	"0.75"
"YKL036C"	"YKL036C"	"0.15"
"YKL037W"	"YKL037W"	"0.2"
"YKL038W"	"RGT1"	"0.47"
"YKL039W"	"PTM1"	"4.41"
"YKL041W"	"VPS24"	"1.21"
"YKL042W"	"SPC42"	"0.38"
"YKL043W"	"PHD1"	"9.63"
"YKL046C"	"YKL046C"	"5.17"
"YKL047W"	"YKL047W"	"0.68"
"YKL048C"	"ELM1"	"0.27"
"YKL049C"	"CSE4"	"1.08"
"YKL050C"	"YKL050C"	"0.13"
"YKL051W"	"YKL051W"	"3.09"
"YKL056C"	"YKL056C"	"377.17"
"YKL062W"	"MSN4"	"0.44"
"YKL065C"	"YET1"	"9.78"
"YKL066W"	"YKL066W"	"0.29"
"YKL068W"	"NUP100"	"1.05"
"YKL069W"	"YKL069W"	"1.23"
"YKL071W"	"YKL071W"	"0.62"
"YKL072W"	"STB6"	"0.51"
"YKL073W"	"LHS1"	"2.13"
"YKL074C"	"MUD2"	"0.88"
"YKL075C"	"YKL075C"	"0.38"
"YKL076C"	"YKL076C"	"0.68"
"YKL077W"	"YKL077W"	"13.48"
"YKL079W"	"SMY1"	"0.75"
"YKL080W"	"VMA5"	"14.46"
"YKL082C"	"YKL082C"	"2.1"
"YKL084W"	"YKL084W"	"2.17"
"YKL085W"	"MDH1"	"10.89"
"YKL086W"	"YKL086W"	"1.57"
"YKL087C"	"CYT2"	"1.19"
"YKL088W"	"YKL088W"	"0.67"
"YKL089W"	"MIF2"	"0.76"
"YKL090W"	"YKL090W"	"0.27"
"YKL091C"	"YKL091C"	"1.09"
"YKL092C"	"BUD2"	"0.22"
"YKL093W"	"MBR1"	"0.94"
"YKL094W"	"YJU3"	"2.86"
"YKL095W"	"YJU2"	"0.25"
"YKL098W"	"YKL098W"	"1.29"
"YKL100C"	"YKL100C"	"1.79"
"YKL101W"	"HSL1"	"3.92"
"YKL103C"	"LAP4"	"1.38"
"YKL104C"	"GFA1"	"2.89"
"YKL105C"	"YKL105C"	"0.55"
"YKL106W"	"AAT1"	"3.07"
"YKL107W"	"YKL107W"	"0.23"
"YKL109W"	"HAP4"	"4.07"
"YKL110C"	"KTI12"	"0.87"
"YKL112W"	"ABF1"	"1.02"
"YKL113C"	"RAD27"	"6.35"
"YKL114C"	"APN1"	"3.5"
"YKL116C"	"YKL116C"	"0.74"
"YKL117W"	"SBA1"	"12.82"
"YKL119C"	"VPH2"	"5.92"
"YKL121W"	"YKL121W"	"0.26"
"YKL122C"	"SRP21"	"21.58"
"YKL123W"	"YKL123W"	"0.72"
"YKL124W"	"SSH4"	"0.21"
"YKL125W"	"RRN3"	"0.78"
"YKL126W"	"YPK1"	"4.17"
"YKL127W"	"PGM1"	"4.34"
"YKL128C"	"PMU1"	"4.97"
"YKL129C"	"MYO3"	"0.5"
"YKL131W"	"YKL131W"	"0.45"
"YKL132C"	"YKL132C"	"0.4"
"YKL133C"	"YKL133C"	"0.53"
"YKL135C"	"APL2"	"1.34"
"YKL137W"	"YKL137W"	"6.17"
"YKL138C"	"MRPL31"	"3.63"
"YKL140W"	"TGL1"	"0.75"
"YKL141W"	"SDH3"	"9.98"
"YKL142W"	"MRP8"	"14.37"
"YKL143W"	"LTV1"	"1.08"
"YKL144C"	"RPC25"	"1.87"
"YKL145W"	"RPT1"	"5.94"
"YKL147C"	"YKL147C"	"0.17"
"YKL148C"	"SDH1"	"2.43"
"YKL149C"	"DBR1"	"0.71"
"YKL150W"	"MCR1"	"5.41"
"YKL151C"	"YKL151C"	"2.09"
"YKL152C"	"GPM1"	"147.02"
"YKL153W"	"YKL153W"	"297.09"
"YKL155C"	"YKL155C"	"1.15"
"YKL156W"	"RPS27A"	"38.32"
"YKL157W"	"APE2"	"1.46"
"YKL158W"	"YKL158W"	"1.1"
"YKL159C"	"YKL159C"	"3.35"
"YKL166C"	"TPK3"	"2.55"
"YKL167C"	"MRP49"	"3.9"
"YKL168C"	"KKQ8"	"0.35"
"YKL173W"	"SNU114"	"0.54"
"YKL174C"	"YKL174C"	"0.9"
"YKL175W"	"YKL175W"	"4.47"
"YKL178C"	"STE3"	"4.72"
"YKL179C"	"YKL179C"	"0.69"
"YKL181W"	"PRS1"	"12.36"
"YKL182W"	"FAS1"	"11.76"
"YKL183W"	"YKL183W"	"2.56"
"YKL184W"	"SPE1"	"7.17"
"YKL186C"	"MTR2"	"2.54"
"YKL187C"	"YKL187C"	"0.53"
"YKL188C"	"PXA2"	"0.17"
"YKL189W"	"HYM1"	"0.42"
"YKL191W"	"DPH2"	"3.93"
"YKL193C"	"SDS22"	"1.59"
"YKL194C"	"MST1"	"0.78"
"YKL197C"	"PEX1"	"0.57"
"YKL204W"	"YKL204W"	"0.64"
"YKL207W"	"YKL207W"	"4.39"
"YKL208W"	"CBT1"	"0.76"
"YKL209C"	"STE6"	"0.22"
"YKL210W"	"UBA1"	"8.87"
"YKL212W"	"SAC1"	"3.08"
"YKL213C"	"DOA1"	"5.2"
"YKL215C"	"YKL215C"	"0.67"
"YKL216W"	"URA1"	"4.92"
"YKL217W"	"JEN1"	"0.23"
"YKL218C"	"YKL218C"	"0.86"
"YKL220C"	"FRE2"	"0.15"
"YKL221W"	"YKL221W"	"0.23"
"YKL222C"	"YKL222C"	"0.28"
"YKR001C"	"VPS1"	"10.42"
"YKR002W"	"PAP1"	"0.68"
"YKR003W"	"YKR003W"	"1.43"
"YKR004C"	"ECM9"	"0.47"
"YKR005C"	"YKR005C"	"0.32"
"YKR006C"	"MRPL13"	"1.81"
"YKR007W"	"YKR007W"	"4.27"
"YKR008W"	"RSC4"	"1.73"
"YKR010C"	"TOF2"	"0.46"
"YKR011C"	"YKR011C"	"0.83"
"YKR012C"	"YKR012C"	"0.91"
"YKR015C"	"YKR015C"	"0.41"
"YKR016W"	"YKR016W"	"1.29"
"YKR017C"	"YKR017C"	"0.58"
"YKR020W"	"YKR020W"	"1.68"
"YKR021W"	"YKR021W"	"0.71"
"YKR022C"	"YKR022C"	"0.48"
"YKR023W"	"YKR023W"	"0.5"
"YKR024C"	"DBP7"	"0.68"
"YKR025W"	"YKR025W"	"2.53"
"YKR026C"	"GCN3"	"3.59"
"YKR027W"	"YKR027W"	"1.35"
"YKR028W"	"SAP190"	"2.83"
"YKR029C"	"YKR029C"	"0.4"
"YKR030W"	"YKR030W"	"7.53"
"YKR031C"	"SPO14"	"0.32"
"YKR032W"	"YKR032W"	"0.1"
"YKR034W"	"DAL80"	"0.17"
"YKR036C"	"CAF4"	"0.5"
"YKR039W"	"GAP1"	"0.39"
"YKR043C"	"YKR043C"	"12.9"
"YKR045C"	"YKR045C"	"1.24"
"YKR046C"	"YKR046C"	"2.79"
"YKR050W"	"TRK2"	"2.59"
"YKR051W"	"YKR051W"	"0.68"
"YKR053C"	"YSR3"	"1.48"
"YKR054C"	"DYN1"	"0.29"
"YKR055W"	"RHO4"	"1.47"
"YKR056W"	"RNC1"	"2.11"
"YKR057W"	"RPS21A"	"112.1"
"YKR060W"	"YKR060W"	"1.36"
"YKR061W"	"KTR2"	"0.98"
"YKR062W"	"TFA2"	"2.6"
"YKR063C"	"LAS1"	"0.53"
"YKR064W"	"YKR064W"	"0.4"
"YKR065C"	"YKR065C"	"1.74"
"YKR066C"	"CCP1"	"17.88"
"YKR067W"	"YKR067W"	"0.96"
"YKR068C"	"BET3"	"1.72"
"YKR070W"	"YKR070W"	"1.55"
"YKR071C"	"YKR071C"	"2.72"
"YKR072C"	"SIS2"	"1.74"
"YKR073C"	"YKR073C"	"0.14"
"YKR075C"	"YKR075C"	"2.73"
"YKR076W"	"ECM4"	"0.58"
"YKR077W"	"YKR077W"	"0.86"
"YKR078W"	"YKR078W"	"0.28"
"YKR080W"	"MTD1"	"2.66"
"YKR082W"	"NUP133"	"1.68"
"YKR083C"	"YKR083C"	"0.94"
"YKR084C"	"HBS1"	"2.4"
"YKR085C"	"MRPL20"	"2.53"
"YKR086W"	"PRP16"	"0.9"
"YKR087C"	"YKR087C"	"2.01"
"YKR088C"	"YKR088C"	"2.47"
"YKR089C"	"YKR089C"	"0.75"
"YKR090W"	"YKR090W"	"1.02"
"YKR092C"	"SRP40"	"6.64"
"YKR093W"	"PTR2"	"9.53"
"YKR094C"	"RPL40B"	"81.9"
"YKR095W"	"MLP1"	"0.62"
"YKR096W"	"YKR096W"	"0.54"
"YKR097W"	"PCK1"	"0.11"
"YKR098C"	"UBP11"	"0.44"
"YKR099W"	"BAS1"	"0.96"
"YKR100C"	"YKR100C"	"1.07"
"YKR101W"	"SIR1"	"0.58"
"YKR102W"	"FLO10"	"0.28"
"YKR103W"	"YKR103W"	"0.32"
"YKR104W"	"YKR104W"	"0.38"
"YKR105C"	"YKR105C"	"0.26"
"YKR106W"	"YKR106W"	"0.51"
"YLL001W"	"DNM1"	"0.82"
"YLL002W"	"KIM2"	"0.52"
"YLL003W"	"SFI1"	"0.85"
"YLL004W"	"ORC3"	"0.45"
"YLL005C"	"YLL005C"	"0.62"
"YLL006W"	"MMM1"	"1.93"
"YLL007C"	"YLL007C"	"1.05"
"YLL008W"	"DRS1"	"3.09"
"YLL011W"	"SOF1"	"1.5"
"YLL012W"	"YLL012W"	"0.57"
"YLL013C"	"YLL013C"	"0.16"
"YLL014W"	"YLL014W"	"5.26"
"YLL016W"	"SDC25"	"0.29"
"YLL018C"	"DPS1"	"16.67"
"YLL019C"	"KNS1"	"1.32"
"YLL020C"	"YLL020C"	"2.15"
"YLL021W"	"SPA2"	"1.34"
