"ORF"	"Gene"	"Expression"
"YBR262C"	"YBR262C"	"2.97"
"YBR263W"	"SHM1"	"12.23"
"YBR267W"	"YBR267W"	"4.11"
"YBR268W"	"MRPL37"	"3.91"
"YBR269C"	"YBR269C"	"5.55"
"YBR270C"	"YBR270C"	"0.85"
"YBR271W"	"YBR271W"	"3.37"
"YBR273C"	"YBR273C"	"2.31"
"YBR275C"	"RIF1"	"0.52"
"YBR278W"	"DPB3"	"0.9"
"YBR279W"	"PAF1"	"1.49"
"YBR280C"	"YBR280C"	"0.54"
"YBR281C"	"YBR281C"	"1.84"
"YBR282W"	"MRPL27"	"7.97"
"YBR283C"	"SSH1"	"14.8"
"YBR284W"	"YBR284W"	"0.29"
"YBR286W"	"APE3"	"15.23"
"YBR287W"	"YBR287W"	"6.77"
"YBR288C"	"APM3"	"3.49"
"YBR289W"	"SNF5"	"0.78"
"YBR290W"	"BSD2"	"1.85"
"YBR291C"	"CTP1"	"3.21"
"YBR293W"	"YBR293W"	"2.39"
"YBR294W"	"SUL1"	"0.38"
"YBR295W"	"PCA1"	"1.66"
"YBR297W"	"MAL33"	"0.31"
"YBR298C"	"MAL31"	"1.02"
"YBR299W"	"MAL32"	"0.28"
"YCL006C"	"YCL006C"	"0.22"
"YCL008C"	"STP22"	"1.09"
"YCL009C"	"ILV6"	"11.18"
"YCL010C"	"YCL010C"	"1.37"
"YCL011C"	"GBP2"	"6.58"
"YCL012W"	"YCL012W"	"0.93"
"YCL014W"	"BUD3"	"0.17"
"YCL017C"	"NFS1"	"5.93"
"YCL019W"	"YCL019W"	"0.59"
"YCL020W"	"YCL020W"	"0.79"
"YCL022C"	"YCL022C"	"0.89"
"YCL024W"	"YCL024W"	"0.29"
"YCL025C"	"AGP1"	"1.32"
"YCL027W"	"FUS1"	"0.29"
"YCL028W"	"YCL028W"	"5.54"
"YCL029C"	"BIK1"	"0.88"
"YCL030C"	"HIS4"	"5.92"
"YCL031C"	"RRP7"	"1.77"
"YCL032W"	"STE50"	"0.68"
"YCL035C"	"YCL035C"	"23.44"
"YCL036W"	"YCL036W"	"2.93"
"YCL037C"	"SRO9"	"2.77"
"YCL039W"	"YCL039W"	"0.78"
