ORF;Gene Name;Raw Half life;Corrected Half Life
YDR198C;;28;28
YDR200C;VPS64;29;29
YDR201W;SPC19;-84;300
YDR202C;RAV2;1058;1058
YDR210W;;-1610;300
YDR211W;GCD6;-302;300
YDR213W;UPC2;33;33
YDR214W;AHA1;34;34
YDR216W;ADR1;58;58
YDR217C;RAD9;-562;300
YDR219C;;53;53
YDR221W;;26;26
YDR222W;;76;76
YDR224C;HTB1;-1052;300
YDR226W;ADK1;217;217
YDR228C;PCF11;34;34
YDR229W;IVY1;36;36
YDR230W;;3;3
YDR233C;RTN1;-142;300
YDR234W;LYS4;40;40
YDR235W;PRP42;90;90
YDR236C;FMN1;-220;300
YDR240C;SNU56;268;268
YDR243C;PRP28;31;31
YDR244W;PEX5;23;23
YDR245W;MNN10;84;84
YDR247W;VHS1;28;28
YDR248C;;44;44
YDR251W;PAM1;112;112
YDR252W;BTT1;262;262
YDR254W;CHL4;35;35
YDR256C;CTA1;31;31
YDR257C;SET7;-340;300
YDR258C;HSP78;57;57
YDR259C;YAP6;21;21
YDR261C;EXG2;11;11
YDR262W;;83;83
YDR264C;AKR1;90;90
YDR265W;PEX10;-677;300
YDR266C;;22;22
YDR267C;;97;97
YDR268W;MSW1;-112;300
YDR272W;GLO2;298;298
YDR275W;BSC2;73;73
YDR276C;PMP3;77;77
YDR277C;MTH1;28;28
YDR279W;RNH202;31;31
YDR283C;GCN2;29;29
YDR288W;NSE3;22;22
YDR289C;RTT103;86;86
YDR291W;;16;16
YDR292C;SRP101;49;49
YDR293C;SSD1;18;18
YDR294C;DPL1;32;32
YDR295C;HDA2;41;41
YDR296W;MHR1;1417;1417
YDR297W;SUR2;-129;300
YDR298C;ATP5;-113;300
YDR299W;BFR2;20;20
YDR300C;PRO1;-654;300
YDR301W;CFT1;-676;300
YDR302W;GPI11;305;305
YDR303C;RSC3;25;25
YDR305C;HNT2;126;126
YDR307W;;29;29
YDR308C;SRB7;-460;300
YDR309C;GIC2;13;13
YDR310C;SUM1;12;12
YDR311W;TFB1;35;35
YDR312W;SSF2;50;50
YDR314C;;11;11
YDR316W;OMS1;24;24
YDR318W;MCM21;104;104
YDR319C;;44;44
YDR320C;SWA2;22;22
YDR322W;MRPL35;1206;1206
YDR323C;PEP7;3;3
YDR324C;UTP4;46;46
YDR325W;YCG1;23;23
YDR329C;PEX3;2;2
YDR330W;UBX5;41;41
YDR331W;GPI8;21;21
YDR332W;;46;46
YDR333C;;19;19
YDR335W;MSN5;-2587;300
YDR337W;MRPS28;50;50
YDR338C;;18;18
YDR342C;HXT7;81;81
YDR345C;HXT3;-185;300
YDR346C;SVF1;55;55
YDR347W;MRP1;44;44
YDR348C;;31;31
YDR354W;TRP4;24;24
YDR356W;SPC110;36;36
YDR357C;;22;22
YDR361C;BCP1;169;169
YDR362C;TFC6;11;11
YDR363W-A;SEM1;37;37
YDR364C;CDC40;38;38
YDR365C;ESF1;2;2
YDR367W;;173;173
YDR368W;YPR1;74;74
YDR370C;;54;54
YDR371W;CTS2;62;62
YDR372C;VPS74;127;127
YDR373W;FRQ1;34;34
YDR376W;ARH1;78;78
YDR377W;ATP17;50;50
YDR379C-A;;11;11
YDR379W;RGA2;-310;300
YDR380W;ARO10;30;30
YDR382W;RPP2B;-7587;300
YDR384C;ATO3;36;36
YDR385W;EFT2;-626;300
YDR386W;MUS81;20;20
YDR388W;RVS167;41;41
YDR389W;SAC7;16;16
YDR390C;UBA2;47;47
YDR391C;;40;40
YDR392W;SPT3;329;329
YDR395W;SXM1;196;196
YDR397C;NCB2;99;99
YDR399W;HPT1;-74;300
YDR400W;URH1;106;106
YDR404C;RPB7;35;35
YDR405W;MRP20;5525;5525
YDR407C;TRS120;-978;300
YDR408C;ADE8;346;346
YDR409W;SIZ1;7;7
YDR410C;STE14;249;249
YDR411C;DFM1;82;82
YDR412W;;82;82
YDR416W;SYF1;26;26
YDR418W;RPL12B;4849;4849
YDR419W;RAD30;61;61
YDR421W;ARO80;4;4
YDR422C;SIP1;23;23
YDR423C;CAD1;26;26
YDR424C;DYN2;10;10
YDR425W;SNX41;54;54
YDR427W;RPN9;116;116
YDR434W;GPI17;83;83
YDR436W;PPZ2;43;43
YDR437W;;-109;300
YDR439W;LRS4;38;38
YDR440W;DOT1;63;63
YDR441C;APT2;28;28
YDR444W;;4;4
YDR447C;RPS17B;140;140
YDR448W;ADA2;59;59
YDR449C;UTP6;34;34
YDR450W;RPS18A;63;63
YDR451C;YHP1;3;3
YDR452W;PPN1;9;9
YDR453C;TSA2;149;149
YDR454C;GUK1;-87;300
YDR456W;NHX1;147;147
YDR457W;TOM1;46;46
YDR458C;;28;28
YDR460W;TFB3;82;82
YDR461W;MFA1;93;93
YDR462W;MRPL28;8;8
YDR463W;STP1;23;23
YDR465C;RMT2;69;69
YDR469W;SDC1;179;179
YDR476C;;50;50
YDR477W;SNF1;34;34
YDR478W;SNM1;75;75
YDR479C;PEX29;52;52
YDR480W;DIG2;40;40
YDR481C;PHO8;3;3
YDR482C;CWC21;2;2
YDR483W;KRE2;2;2
YDR484W;VPS52;29;29
YDR485C;VPS72;1855;1855
YDR486C;VPS60;191;191
YDR487C;RIB3;20;20
YDR488C;PAC11;55;55
YDR490C;PKH1;13;13
YDR492W;IZH1;49;49
YDR493W;FMP36;210;210
YDR495C;VPS3;54;54
YDR497C;ITR1;59;59
YDR498C;SEC20;39;39
YDR499W;LCD1;14;14
YDR500C;RPL37B;53;53
YDR505C;PSP1;21;21
YDR506C;;10;10
YDR510W;SMT3;7;7
YDR511W;ACN9;27;27
YDR513W;TTR1;-209;300
YDR514C;;35;35
YDR515W;SLF1;24;24
YDR516C;EMI2;31;31
YDR517W;GRH1;61;61
YDR519W;FPR2;-1164;300
YDR520C;;16;16
YDR525W-A;SNA2;224;224
YDR527W;RBA50;61;61
YDR528W;HLR1;55;55
YDR530C;APA2;36;36
YDR532C;;145;145
YDR533C;HSP31;-84;300
YDR538W;PAD1;27;27
YDR539W;;42;42
YDR540C;;6;6
YEL001C;;237;237
YEL003W;GIM4;-308;300
YEL004W;YEA4;49;49
YEL005C;VAB2;75;75
YEL006W;;10;10
YEL007W;;8;8
YEL008W;;341;341
YEL009C;GCN4;5;5
YEL012W;UBC8;87;87
YEL013W;VAC8;103;103
YEL015W;EDC3;61;61
YEL016C;;7;7
YEL017C-A;PMP2;-167;300
YEL017W;GTT3;77;77
YEL018W;EAF5;81;81
YEL019C;MMS21;121;121
YEL022W;GEA2;16;16
YEL029C;BUD16;17;17
YEL031W;SPF1;-113;300
YEL032W;MCM3;31;31
YEL039C;CYC7;236;236
YEL040W;UTR2;22;22
YEL041W;;70;70
YEL042W;GDA1;2;2
YEL043W;;23;23
YEL044W;IES6;-77;300
YEL046C;GLY1;1367;1367
YEL047C;;201;201
YEL048C;;607;607
YEL050C;RML2;79;79
YEL052W;AFG1;65;65
YEL054C;RPL12A;10;10
YEL055C;POL5;32;32
YEL058W;PCM1;43;43
YEL060C;PRB1;3;3
YEL061C;CIN8;25;25
YEL062W;NPR2;14;14
YEL063C;CAN1;29;29
YEL066W;HPA3;3;3
YEL070W;DSF1;227;227
YEL071W;DLD3;56;56
YER001W;MNN1;215;215
YER002W;NOP16;37;37
YER003C;PMI40;29;29
YER005W;YND1;35;35
YER006W;NUG1;738;738
YER007C-A;;74;74
YER007W;PAC2;22;22
YER008C;SEC3;29;29
YER010C;;21;21
YER011W;TIR1;2;2
YER012W;PRE1;1131;1131
YER013W;PRP22;45;45
YER014W;HEM14;151;151
YER015W;FAA2;26;26
