mRNA half lifes [min],,,,,
orf,median,sd,mean,cv,95%-confidence
YBR002C,4.0811215263088,0.65675484527611,4.04670340482721,0.162293793138554,2.83 - 5.21
YBR003W,8.57439141615266,1.28069262419863,8.63621950116343,0.148293199822688,6.26 - 11
YBR004C,7.97972461955112,1.33745321322052,8.16688253741588,0.163765452373423,6.08 - 11.1
YBR005W,4.93355576809227,1.05833509968581,5.08972350886326,0.207935676239156,3.51 - 7.23
YBR006W,13.1539581585079,4.4851943291344,13.7993924246899,0.325028391910175,7.36 - 22.7
YBR007C,3.76581254857469,0.83260493051373,3.68677959180342,0.225835287893208,2.15 - 5.13
YBR008C,4.62404816175065,1.14306158067703,4.70079173847279,0.243163629505609,3.02 - 7.38
YBR009C,14.4575357852673,3.68976662135498,14.1814091976938,0.260183354835782,7.01 - 21.7
YBR010W,14.0539354412032,5.07963859384066,14.6003221023838,0.347912776048367,6.89 - 24.6
YBR011C,78.9957681644665,40.1997411743281,86.5511532858392,0.464462224339941,53.5 - 178
YBR013C,17.6975495896537,5.91115913235481,18.1759770783649,0.325218232113142,9.59 - 31.7
YBR014C,15.9503069058323,2.59343922134889,15.7983394470983,0.164158975696982,11.2 - 21.6
YBR015C,13.6123418437432,2.61898931672201,13.9710066639512,0.187458883938526,10.2 - 20.7
YBR016W,8.09382523207739,2.10672146632261,8.28971938127504,0.254136644369568,4.57 - 12.1
YBR017C,12.174596290961,2.05859591426741,12.1873855464547,0.168912020254111,8.33 - 16.6
YBR018C,7.97249243488114,2.45747519009046,8.29551852629147,0.296241299721271,4.44 - 13.8
YBR019C,25.4478476676629,14.5248384005501,29.592407739561,0.490829895572586,10 - 68.5
YBR020W,3.58358966238859,1.57978361344792,3.88214219568301,0.406936050720825,1.32 - 7.41
YBR021W,5.74946329045742,1.70057826727198,5.72256954276427,0.297170397766896,3.05 - 8.99
YBR022W,8.94765690125819,1.18620707655459,9.00095131450508,0.131786856200745,7.15 - 11.4
YBR023C,11.4726072973892,2.00042165239575,11.5624182960203,0.173010662750739,8.45 - 15.6
YBR024W,12.7452408285812,2.75406805588863,12.7167524805132,0.216570076370432,7.5 - 18
YBR025C,38.9235320355292,6.19992537447833,39.2604938995218,0.15791766120787,28 - 50.2
YBR026C,33.8605242743418,10.2783607290929,34.1938774015401,0.300590676172627,19.4 - 54.2
YBR028C,6.57522077313946,1.4060728061592,6.61378568609746,0.21259727376937,4.33 - 9.18
